word,color,outcome,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,INSTRUCTION.started,text_2.started,text_2.stopped,INSTRUCTION.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,THANKS.started,text_3.started,text_3.stopped,THANKS.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,Congruent ,Incongruent 
RED,red,C,r,1,1,0,r,1,0.7055159,None,0,1,1,0,5.1027443,,,,,,5.1008373,5.1027443,5.6125682,5.6125682,5.6125682,6.3301134,r,1,0.7055159,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.7055159,3.5593843
BLUE,blue,C,b,3,3,0,b,1,0.6291079,None,0,3,3,3,7.2626622,,,,,,7.2467822,7.2626622,7.7463669,7.7463669,7.7463669,8.379967,b,1,0.6291079,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.6291079,0.4089839
RED,red,C,r,4,0,1,r,1,0.6705986,None,1,0,4,0,8.3962808,,,,,,8.3826642,8.3962808,8.8796076,8.8796076,8.8796076,9.5625814,r,1,0.6705986,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.6705986,0.8387444
BLUE,blue,C,b,5,1,1,b,1,0.4002123,None,1,1,5,3,9.5789362,,,,,,9.56431,9.5789362,10.0624369,10.0624369,10.0624369,10.463259,b,1,0.4002123,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4002123,0.7548668
BLUE,blue,C,b,8,0,2,b,1,0.5841413,None,2,0,8,3,13.1124758,,,,,,13.1002962,13.1124758,13.5959476,13.5959476,13.5959476,14.1962843,b,1,0.5841413,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.5841413,0.6773314
RED,red,C,r,9,1,2,b,0,0.5400866,None,2,1,9,0,14.2124827,,,,,,14.2000471,14.2124827,14.6959058,14.6959058,14.6959058,15.2463696,b,0,0.5400866,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.5400866,0.5401285
RED,red,C,r,12,0,3,r,1,0.418648,None,3,0,12,0,17.4956063,,,,,,17.4804721,17.4956063,17.9953778,17.9953778,17.9953778,18.4292766,r,1,0.418648,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.418648,0.6744358
BLUE,blue,C,b,13,1,3,b,1,0.4060376,None,3,1,13,3,18.4454278,,,,,,18.4330146,18.4454278,18.9288447,18.9288447,18.9288447,19.3462098,b,1,0.4060376,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4060376,0.3269502
RED,red,C,r,16,0,4,r,1,0.4796967,None,4,0,16,0,21.3788426,,,,,,21.363533,21.3788426,21.8621623,21.8621623,21.8621623,22.3459795,r,1,0.4796967,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4796967,0.2920692
BLUE,blue,C,b,18,2,4,b,1,0.4330996,None,4,2,18,3,23.1616928,,,,,,23.1476716,23.1616928,23.6455523,23.6455523,23.6455523,24.0958106,b,1,0.4330996,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4330996,0.4494686
BLUE,blue,C,b,20,0,5,b,1,0.4487673,None,5,0,20,3,25.0784017,,,,,,25.0630427,25.0784017,25.5617569,25.5617569,25.5617569,26.0122249,b,1,0.4487673,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4487673,0.5247635
RED,red,C,r,23,3,5,r,1,0.3802845,None,5,3,23,0,28.1449161,,,,,,28.1325686,28.1449161,28.6279571,28.6279571,28.6279571,29.0122179,r,1,0.3802845,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.3802845,0.5668915
BLUE,blue,C,b,24,0,6,b,1,0.4473519,None,6,0,24,3,29.0282091,,,,,,29.01614,29.0282091,29.5117191,29.5117191,29.5117191,29.9620018,b,1,0.4473519,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4473519,0.4934903
RED,red,C,r,27,3,6,r,1,0.5279359,None,6,3,27,0,31.8948517,,,,,,31.8794073,31.8948517,32.378022,32.378022,32.378022,32.9119185,r,1,0.5279359,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.5279359,0.4135092
BLUE,blue,C,b,28,0,7,b,1,0.6912571,None,7,0,28,3,32.9278665,,,,,,32.9155328,32.9278665,33.4114372,33.4114372,33.4114372,34.1119662,b,1,0.6912571,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.6912571,0.3313586
RED,red,C,r,31,3,7,r,1,0.3936759,None,7,3,31,0,36.2278593,,,,,,36.2146599,36.2278593,36.7110359,36.7110359,36.7110359,37.1116516,r,1,0.3936759,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.3936759,0.7602772
RED,red,C,r,32,0,8,r,1,0.4145524,None,8,0,32,0,37.1276747,,,,,,37.1124802,37.1276747,37.6111937,37.6111937,37.6111937,38.0282471,r,1,0.4145524,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.4145524,0.3463122
BLUE,blue,C,b,33,1,8,b,1,0.5737927,None,8,1,33,3,38.0443526,,,,,,38.0322005,38.0443526,38.5276684,38.5276684,38.5276684,39.1112044,b,1,0.5737927,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.5737927,0.5670593
BLUE,blue,C,b,37,1,9,b,1,0.5368051,None,9,1,37,3,42.0608371,,,,,,42.045486,42.0608371,42.5442045,42.5442045,42.5442045,43.0947644,b,1,0.5368051,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.5368051,0.4901459
RED,red,C,r,38,2,9,r,1,0.8932789,None,9,2,38,0,43.1107555,,,,,,43.0989081,43.1107555,43.594027,43.594027,43.594027,44.4942395,r,1,0.8932789,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,0.8932789,0.6594095
RED,blue,I,b,0,0,0,r,0,3.5593843,None,0,0,0,2,1.0196994,,,,,,1.0140222,1.0196994,1.5130244,1.5130244,1.5130244,5.100452,r,0,3.5593843,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,2,2,0,r,1,0.4089839,None,0,2,2,1,6.3461802,,,,,,6.3376729,6.3461802,6.829587,6.829587,6.829587,7.2462834,r,1,0.4089839,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,6,2,1,r,1,0.8387444,None,1,2,6,1,10.4790195,,,,,,10.4641733,10.4790195,10.9791885,10.9791885,10.9791885,11.830066,r,1,0.8387444,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,7,3,1,b,1,0.7548668,None,1,3,7,2,11.8457342,,,,,,11.8340164,11.8457342,12.3290718,12.3290718,12.3290718,13.0965356,b,1,0.7548668,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,10,2,2,r,1,0.6773314,None,2,2,10,1,15.2624463,,,,,,15.2501328,15.2624463,15.74586,15.74586,15.74586,16.4296275,r,1,0.6773314,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,11,3,2,b,1,0.5401285,None,2,3,11,2,16.4456537,,,,,,16.4333144,16.4456537,16.9289843,16.9289843,16.9289843,17.4796781,b,1,0.5401285,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,14,2,3,r,1,0.6744358,None,3,2,14,1,19.3621922,,,,,,19.3470738,19.3621922,19.8456116,19.8456116,19.8456116,20.5291775,r,1,0.6744358,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,15,3,3,b,1,0.3269502,None,3,3,15,2,20.5452425,,,,,,20.5328064,20.5452425,21.0289422,21.0289422,21.0289422,21.3627514,b,1,0.3269502,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,17,1,4,b,1,0.2920692,None,4,1,17,2,22.3619823,,,,,,22.3467306,22.3619823,22.8453315,22.8453315,22.8453315,23.1455079,b,1,0.2920692,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,19,3,4,r,1,0.4494686,None,4,3,19,1,24.1118143,,,,,,24.0965746,24.1118143,24.5951376,24.5951376,24.5951376,25.0622351,r,1,0.4494686,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,21,1,5,b,1,0.5247635,None,5,1,21,2,26.0284385,,,,,,26.0166218,26.0284385,26.5117785,26.5117785,26.5117785,27.045848,b,1,0.5247635,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,22,2,5,r,1,0.5668915,None,5,2,22,1,27.0618507,,,,,,27.0498292,27.0618507,27.5451076,27.5451076,27.5451076,28.128879,r,1,0.5668915,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,25,1,6,r,1,0.4934903,None,6,1,25,1,29.9778816,,,,,,29.9627684,29.9778816,30.4614606,30.4614606,30.4614606,30.9621308,r,1,0.4934903,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,26,2,6,b,1,0.4135092,None,6,2,26,2,30.9781942,,,,,,30.965893,30.9781942,31.4614648,31.4614648,31.4614648,31.878638,b,1,0.4135092,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,29,1,7,b,1,0.3313586,None,7,1,29,2,34.1276897,,,,,,34.1156594,34.1276897,34.6112932,34.6112932,34.6112932,34.9448891,b,1,0.3313586,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,30,2,7,r,1,0.7602772,None,7,2,30,1,34.9609857,,,,,,34.947351,34.9609857,35.4443087,35.4443087,35.4443087,36.2118845,r,1,0.7602772,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,34,2,8,b,1,0.3463122,None,8,2,34,2,39.1273767,,,,,,39.1152629,39.1273767,39.6110346,39.6110346,39.6110346,39.9614142,b,1,0.3463122,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,35,3,8,r,1,0.5670593,None,8,3,35,1,39.9775744,,,,,,39.9654811,39.9775744,40.461069,40.461069,40.461069,41.0448132,r,1,0.5670593,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
BLUE,red,I,r,36,0,9,r,1,0.4901459,None,9,0,36,1,41.0608724,,,,,,41.0456985,41.0608724,41.5442592,41.5442592,41.5442592,42.0446862,r,1,0.4901459,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
RED,blue,I,b,39,3,9,b,1,0.6594095,None,9,3,39,2,44.5103512,,,,,,44.4949483,44.5103512,44.994056,44.994056,44.994056,45.6612692,b,1,0.6594095,None,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
,,,,,,,,,,,,,,,,,0.0013556,0.0039902,1.0196994,0.9970463,,,,,,,,,,,,,,,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6614517,45.676988,46.6605393,46.6441806,7,1,2025-08-26_13h02.07.502,Exp2_Stroop Effect,,2025.1.1,60.000492,2025-08-26 13h02.19.420441 +0530,,,,,
